id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
N1C102,Packing_set_room,หน้าห้องแต่งตัวลูกค้า,Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463423,"In door",2แพคกิ้ง,N1,102,192.168.20.11,,Active,N1C102,,1,48.3900,38.5000
N3C602,peel_line_2,"รีดเม็ด ผลิต",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234245,"In door",2ผลิต,N3,602,192.168.20.48,,Active,N3C602,,1,75.6600,24.0400
N1C702,costume,โรงเก็บผ้า,Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463414,"In door",2บุคคลฯ,N1,702,192.168.20.8,,Active,N1C702,,1,45.6600,16.0800
N4C902,Load_ST,ช่องโหลด,Bullet,Hikvision,,,"In door",2สโตร์ฯ,N4,902,192.168.20.89,,Active,N4C902,,1,66.9700,50.7300
N4C1502,locker_PA,"ล๊อกเกอร์ แพคกิ้ง",Bullet,Hikvision,,,"In door",2แพคกิ้ง,N4,1502,192.168.20.90,,Active,N4C1502,,1,47.2200,43.4100
PR58,CM1-PR58,PR58,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR58,,13,71.1200,59.5300
OS09,CM1-OS09,OS09,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS09,,13,64.8500,15.8500
N4C1302,basket_clean,ลานล้างตระกร้า,Bullet,Hikvision,,,"Out door",2ผลิต,N4,1302,192.168.20.73,,Active,N4C1302,,1,78.5100,23.3400
N1C2902,ST_dry_front,หน้าสโตร์แห้ง,Bullet,Hikvision,DS-2CD3021G0-I,I20231201AAWRAX3842231,"In door",2สโตร์ฯ,N1,2902,192.168.20.56,,Active,N1C2902,,1,39.3500,18.4500
N4C1002,locker_PR,ห้องเก็บของผลิต,Dome,Hikvision,,,"In door",2ผลิต,N4,1002,192.168.20.74,,Active,N4C1002,,1,77.4300,33.3100
N1C1502,load_new,"ทางขึ้น โรงใหม่",Bullet,Hikvision,DS-2CD3021G0-I,20240715AAWRFH4748685,"Out door",2สโตร์ฯ,N1,1502,192.168.20.68,,Active,N1C1502,,1,53.5000,85.8500
N2C1202,Auto_A,"Auto A",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929375,"In door",2แพคกิ้ง,N2,1202,192.168.20.41,,Active,N2C1202,,1,50.8500,34.6900
CONNETTA52,CM1-CONNETTA52,CONNETTA52,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,CONNETTA52,,13,91.3300,37.1300
N3C1102,Cutter_line_2,"Cutter line 2",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234242,"In door",2ผลิต,N3,1102,192.168.20.47,,Active,N3C1102,,1,69.9100,25.1500
PA32,CM1-PA32,PA32,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA32,,13,38.2800,45.1100
RM60,CM1-RM60,RM60,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM60,,13,86.4700,20.0000
N4C2302,Bean_gliding,"ร่อนถั่ว ผลิต",Bullet,Hikvision,,,"In door",2ผลิต,N4,2302,192.168.20.94,,Active,N4C2302,,1,54.1500,29.4900
N4C2202,select_PR_line_2,"เครื่องคัด ไลน์ 2",Bullet,Hikvision,,,"In door",2ผลิต,N4,2202,192.168.20.98,,Active,N4C2202,,1,65.4200,29.7400
ST16,CM1-ST16,ST16,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST16,,13,38.5900,29.5700
N3C1202,chemical_PA,"ห้องสารเคมี แพคกิ้ง",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231201AAWRAX3842245,"In door",2แพคกิ้ง,N3,1202,192.168.20.62,,Active,N3C1202,,1,48.7800,34.2300
PA37,CM1-PA37,PA37,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA37,,13,36.1700,40.5900
OS01,CM1-OS01,OS01,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS01,,13,28.8900,12.9900
N1C3002,Newload_E,"ลานห้องเย็นใหม่ ตะวันออก",Bullet,Hikvision,DS-2CD3021G0-I,20240715AAWRFH4748623,"In door",2สโตร์ฯ,N1,3002,192.168.20.67,,Active,N1C3002,,1,55.4800,79.2300
N4C602,CD2,"ห้องเย็น 2",Bullet,Hikvision,,,"In door",2สโตร์ฯ,N4,602,192.168.20.86,,Active,N4C602,,1,54.3600,44.7900
N3C702,larn_RM,ลานรับวัตถุดิบ,Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234397,"In door",2รับวัตถุดิบ,N3,702,192.168.20.49,,Active,N3C702,,1,71.6400,37.0300
N1C1302,Motorcycle_garage,"โรงจอดรถ ตะวันตก",Bullet,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200774,"Out door",2บุคคลฯ,N1,1302,192.168.0.214,,Active,N1C1302,,1,23.1100,55.1500
