asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N1C102,Packing_set_room,หน้าห้องแต่งตัวลูกค้า,Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463423,2แพคกิ้ง,192.168.20.11,,Active,,1,48.3900,38.5000
N3C602,peel_line_2,"รีดเม็ด ผลิต",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234245,2ผลิต,192.168.20.48,,Active,,1,75.6600,24.0400
N1C702,costume,โรงเก็บผ้า,Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463414,2บุคคลฯ,192.168.20.8,,Active,,1,45.6600,16.0800
N4C902,Load_ST,ช่องโหลด,Camera,Hikvision,,,2สโตร์ฯ,192.168.20.89,,Active,,1,66.9700,50.7300
N4C1502,locker_PA,"ล๊อกเกอร์ แพคกิ้ง",Camera,Hikvision,,,2แพคกิ้ง,192.168.20.90,,Active,,1,47.2200,43.4100
PR58,CM1-PR58,PR58,Camera,Hikvision,,,1ผลิต,,,Active,,13,71.1200,59.5300
OS09,CM1-OS09,OS09,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,64.8500,15.8500
N4C1302,basket_clean,ลานล้างตระกร้า,Camera,Hikvision,,,2ผลิต,192.168.20.73,,Active,,1,78.5100,23.3400
N1C2902,ST_dry_front,หน้าสโตร์แห้ง,Camera,Hikvision,DS-2CD3021G0-I,I20231201AAWRAX3842231,2สโตร์ฯ,192.168.20.56,,Active,,1,39.3500,18.4500
N4C1002,locker_PR,ห้องเก็บของผลิต,Camera,Hikvision,,,2ผลิต,192.168.20.74,,Active,,1,77.4300,33.3100
N1C1502,load_new,"ทางขึ้น โรงใหม่",Camera,Hikvision,DS-2CD3021G0-I,20240715AAWRFH4748685,2สโตร์ฯ,192.168.20.68,,Active,,1,53.5000,85.8500
N2C1202,Auto_A,"Auto A",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929375,2แพคกิ้ง,192.168.20.41,,Active,,1,50.8500,34.6900
CONNETTA52,CM1-CONNETTA52,CONNETTA52,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,91.3300,37.1300
N3C1102,Cutter_line_2,"Cutter line 2",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234242,2ผลิต,192.168.20.47,,Active,,1,69.9100,25.1500
PA32,CM1-PA32,PA32,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,38.2800,45.1100
RM60,CM1-RM60,RM60,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,86.4700,20.0000
N4C2302,Bean_gliding,"ร่อนถั่ว ผลิต",Camera,Hikvision,,,2ผลิต,192.168.20.94,,Active,,1,54.1500,29.4900
N4C2202,select_PR_line_2,"เครื่องคัด ไลน์ 2",Camera,Hikvision,,,2ผลิต,192.168.20.98,,Active,,1,65.4200,29.7400
ST16,CM1-ST16,ST16,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,38.5900,29.5700
N3C1202,chemical_PA,"ห้องสารเคมี แพคกิ้ง",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231201AAWRAX3842245,2แพคกิ้ง,192.168.20.62,,Active,,1,48.7800,34.2300
PA37,CM1-PA37,PA37,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,36.1700,40.5900
OS01,CM1-OS01,OS01,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,28.8900,12.9900
N1C3002,Newload_E,"ลานห้องเย็นใหม่ ตะวันออก",Camera,Hikvision,DS-2CD3021G0-I,20240715AAWRFH4748623,2สโตร์ฯ,192.168.20.67,,Active,,1,55.4800,79.2300
N4C602,CD2,"ห้องเย็น 2",Camera,Hikvision,,,2สโตร์ฯ,192.168.20.86,,Active,,1,54.3600,44.7900
N3C702,larn_RM,ลานรับวัตถุดิบ,Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234397,2รับวัตถุดิบ,192.168.20.49,,Active,,1,71.6400,37.0300
